id_som;lat;lon;nom;equipement;bus;rue;numrue;tourism;artiste;type_art;date_debut;panoramax;tourisme;nom_artiste
388382297;43.4888911;-1.4764177;;;;;;;;;;;;
388382294;43.4897095;-1.4761504;;;;;;;;;;;;
388382398;43.4904538;-1.4782107;;;;;;;;;;;;
388382341;43.489663;-1.4786065;;;;;;;;;;;;
388382450;43.4889015;-1.4764688;;;;;;;;;;;;
388382422;43.4886236;-1.4765196;;;;;;;;;;;;
255400676;43.4883349;-1.4781044;;;;;;;;;;;;
4868369148;43.4883641;-1.4782939;;;;;;;;;;;;
388382478;43.4889952;-1.4755586;;;;;;;;;;;;
9887512373;43.4889917;-1.4755243;;;;;;;;;;;;
388382460;43.4885898;-1.4758943;;;;;;;;;;;;
5484526628;43.4885012;-1.4760079;;;;;;;;;;;;
5484528547;43.4897701;-1.4742591;;;;;;;;;;;;
388487694;43.4897098;-1.4748359;;;;;;;;;;;;
840829607;43.4880198;-1.47543;;;;;;;;;;;;
388324410;43.4879667;-1.4752647;;;;;;;;;;;;
254522037;43.4868651;-1.4687995;;;;;;;;;;;;
476292635;43.4867743;-1.4683383;;;;;;;;;;;;
401332551;43.4874023;-1.4673004;;;;;;;;;;;;
255403497;43.4873065;-1.4675552;;;;;;;;;;;;
476292636;43.4872517;-1.4682709;;;;;;;;;;;;
401332570;43.4880703;-1.467452;;;;;;;;;;;;
255402866;43.4874743;-1.4672488;;;;;;;;;;;;
711707605;43.4902555;-1.4678617;;;;;;;;;;;;
255402862;43.4898416;-1.4680951;;;;;;;;;;;;
476283454;43.4935292;-1.4608958;;;;;;;;;;;;
476283459;43.4934204;-1.4612101;;;;;;;;;;;;
476283453;43.4936881;-1.4607283;;;;;;;;;;;;
254933412;43.4936935;-1.4617221;;;;;;;;;;;;
476283455;43.4934161;-1.4608544;;;;;;;;;;;;
476283456;43.4933886;-1.4607158;;;;;;;;;;;;
11257819636;43.4930749;-1.4609686;;;;;;;;;;;;
476283486;43.4934721;-1.4604695;;;;;;;;;;;;
476283484;43.4928592;-1.4599404;;;;;;;;;;;;
1829836630;43.490434;-1.4633422;;;;;;;;;;;;
8758462053;43.4907396;-1.4628972;;;;;;;;;;;;
476292634;43.4872379;-1.4684343;;;;;;;;;;;;
255403498;43.487244;-1.4686133;;;;;;;;;;;;
388496637;43.4871009;-1.4687545;;;;;;;;;;;;
254522038;43.4867145;-1.4680963;;;;;;;;;;;;
254522044;43.4869343;-1.4629718;;;;;;;;;;;;
493187537;43.4868648;-1.4683389;;;;;;;;;;;;
255402932;43.4863971;-1.4664951;;;;;;;;;;;;
476292638;43.4861546;-1.4662734;;;;;;;;;;;;
1428798261;43.4860751;-1.4662014;;;;;;;;;;;;
254951178;43.4893434;-1.466646;;;;;;;;;;;;
254951185;43.492814;-1.472072;;;;;;;;;;;;
269248034;43.4923358;-1.4723034;;;;;;;;;;;;
4865716982;43.4973637;-1.4780614;;;;;;;;;;;;
6943063122;43.4985194;-1.4805512;;;;;;;;;;;;
493187540;43.4867702;-1.4680169;;;;;;;;;;;;
493187539;43.4868519;-1.4682919;;;;;;;;;;;;
493202396;43.4863111;-1.4665937;;;;;;;;;;;;
6753623803;43.4937807;-1.4606604;;;;;;;;;;;;
570056253;43.4943083;-1.4608332;;;;;;;;;;;;
570056264;43.4974915;-1.4601432;;;;;;;;;;;;
570056330;43.4977328;-1.4611307;;;;;;;;;;;;
570056299;43.4983199;-1.4622425;;;;;;;;;;;;
6212829701;43.4982802;-1.4619211;;;;;;;;;;;;
7003853474;43.4931338;-1.4731818;;;;;;;;;;;;
7590075014;43.4925595;-1.4737458;;;;;;;;;;;;
597616222;43.4915919;-1.4702408;;;;;;;;;;;;
254951183;43.4918454;-1.4700255;;;;;;;;;;;;
388382329;43.4906817;-1.4747918;;;;;;;;;;;;
254053884;43.4922733;-1.4743893;;;;;;;;;;;;
1801848709;43.4921499;-1.4743727;;;;;;;;;;;;
388382303;43.4905376;-1.4758035;;;;;;;;;;;;
388382328;43.4905823;-1.4752629;;;;;;;;;;;;
704988991;43.4940135;-1.4837833;;;;;;;;;;;;
704988987;43.4916163;-1.4836988;;;;;;;;;;;;
704988994;43.4937041;-1.4847665;;;;;;;;;;;;
704988988;43.4918495;-1.4854212;;;;;;;;;;;;
704990065;43.4946595;-1.4834921;;;;;;;;;;;;
704990122;43.4956932;-1.4853719;;;;;;;;;;;;
704990043;43.4942051;-1.4877532;;;;;;;;;;;;
595783576;43.4931841;-1.4882961;;;;;;;;;;;;
704990035;43.492818;-1.4879209;;;;;;;;;;;;
704990052;43.4940555;-1.4871894;;;;;;;;;;;;
