id_arete;parent;lstpoints;highway;nom;surface
334823777-1;334823777;[3419380400, 3419380397];service;;
334823777-2;334823777;[3419380397, 3419380406, 3419380394, 3419380399, 3419380401, 3419380404];service;;
336394412-1;336394412;[3434342815, 3434342812, 3434342811, 3434342814, 3434342810, 3434342809, 3434342807];service;;asphalt
336394412-2;336394412;[3434342807, 3434342808, 1828882537];service;;asphalt
338451953-1;338451953;[3455324232, 3658636786, 3658634696];cycleway;;
338451953-2;338451953;[3658634696, 5480072155, 10180877507];cycleway;;
338451953-3;338451953;[10180877507, 3658634697, 5480072153];cycleway;;
338451953-4;338451953;[5480072153, 3658634699];cycleway;;
338451953-5;338451953;[3658634699, 5480072152, 10180877505];cycleway;;
338451953-6;338451953;[10180877505, 3658634698, 5480072150];cycleway;;
338451953-7;338451953;[5480072150, 3658634695];cycleway;;
338451953-8;338451953;[3658634695, 5480072149];cycleway;;
350624185-1;350624185;[3563710441, 8792418553, 11070615669];unclassified;Avenue Maréchal de Lautrec;asphalt
350624185-2;350624185;[11070615669, 7593196343, 1806155816, 7593213496];unclassified;Avenue Maréchal de Lautrec;asphalt
350624188-1;350624188;[7593196342, 4014827255];living_street;;
350624188-2;350624188;[4014827255, 7593050972, 11776036022, 3563710434, 3563710447];living_street;;
350624250-1;350624250;[3563710436, 3563712194, 4014827258];service;;asphalt
350624250-2;350624250;[4014827258, 7593196350, 3563712193, 7593196349, 7593050971, 4014836499];service;;asphalt
352267677-1;352267677;[706198591, 6015172987, 595783492, 705032452];tertiary;Avenue de Marhum;asphalt
352267677-2;352267677;[705032452, 1796016016, 1796016006];tertiary;Avenue de Marhum;asphalt
352267677-3;352267677;[1796016006, 1796016004];tertiary;Avenue de Marhum;asphalt
352267677-4;352267677;[1796016004, 5639532656, 595783495];tertiary;Avenue de Marhum;asphalt
352267677-5;352267677;[595783495, 595783496];tertiary;Avenue de Marhum;asphalt
352267677-6;352267677;[595783496, 5810152947, 595783497, 5702304694];tertiary;Avenue de Marhum;asphalt
352267677-7;352267677;[5702304694, 595783498, 3660030318];tertiary;Avenue de Marhum;asphalt
352267677-8;352267677;[3660030318, 595783499, 4014837967];tertiary;Avenue de Marhum;asphalt
352268623-1;352268623;[706302504, 4271454609];tertiary;Rue de Ravignan;concrete
352268623-2;352268623;[4271454609, 706302503];tertiary;Rue de Ravignan;concrete
352268623-3;352268623;[706302503, 4271454601];tertiary;Rue de Ravignan;concrete
352268623-4;352268623;[4271454601, 5672585506];tertiary;Rue de Ravignan;concrete
352268623-5;352268623;[5672585506, 6290764019, 269248041, 6290764018, 711707583];tertiary;Rue de Ravignan;concrete
352268623-6;352268623;[711707583, 6290764017];tertiary;Rue de Ravignan;concrete
352751789-1;352751789;[3585262595, 10123958481];residential;Square du Cèdre;asphalt
352751789-2;352751789;[10123958481, 3585262594];residential;Square du Cèdre;asphalt
352751791-1;352751791;[577898280, 5824252279, 3585262597, 5824252278, 3585262594];residential;Square du Cèdre;asphalt
352751791-2;352751791;[3585262594, 577898294];residential;Square du Cèdre;asphalt
352752565-1;352752565;[7635974250, 3585264909];service;;
352752565-2;352752565;[3585264909, 3585264919, 7635974256, 7635974255, 7635974254, 7635974253, 7635974252];service;;
352752566-1;352752566;[5107196586, 5107196585, 3585264926];service;;
352752566-2;352752566;[3585264926, 6212831409, 6212831410, 9505310264];service;;
352752566-3;352752566;[9505310264, 12066137580];service;;
352752566-4;352752566;[12066137580, 570056460];service;;
352752568-1;352752568;[3585264907, 12066137598];service;;
352752568-2;352752568;[12066137598, 3585264917];service;;
352752568-3;352752568;[3585264917, 3585264927, 3585264903, 11283593874];service;;
352752568-4;352752568;[11283593874, 3585264924, 3585264906, 3585264916, 3585264921, 3585264918, 3585264920];service;;
352753579-1;352753579;[3585278127, 3585278125, 3585278119, 6021823356];footway;;asphalt
352753579-2;352753579;[6021823356, 3585278122];footway;;asphalt
352753602-1;352753602;[3585274984, 3585274981, 3585274983, 3585274980, 3585274982, 3585274975, 3585274978, 3585274976, 3585274985, 3732162299];service;Quai Edmond Foy;
352753602-2;352753602;[3732162299, 1575406459];service;Quai Edmond Foy;
352753602-3;352753602;[1575406459, 3585274979, 4456603919, 4456603921, 4456603922, 4456603925, 4456603927, 4456603930];service;Quai Edmond Foy;
352753602-4;352753602;[4456603930, 4456603929, 4456603926, 4456603924, 5464276882, 4456603923, 4456603920, 3585274977, 28334036, 28334033, 3585274984];service;Quai Edmond Foy;
354944151-1;354944151;[7593287802, 7667063060, 10055688304];path;;paved
354944151-2;354944151;[10055688304, 7593287800];path;;paved
354944151-3;354944151;[7593287800, 3605927461];path;;paved
354944151-4;354944151;[3605927461, 7670993568];path;;paved
354944151-5;354944151;[7670993568, 7670993566];path;;paved
354944151-6;354944151;[7670993566, 7670993573];path;;paved
354944151-7;354944151;[7670993573, 3660030317, 7593287794];path;;paved
354944151-8;354944151;[7593287794, 3660030318];path;;paved
360608807-1;360608807;[704989010, 7040731320, 7040731318, 7040731319, 7040731317, 3580226493];unclassified;Avenue Maurice Goalard;asphalt
360608807-2;360608807;[3580226493, 10708960722, 3732013421, 704989001];unclassified;Avenue Maurice Goalard;asphalt
360608812-1;360608812;[578449627, 578449630];secondary;Allées Paulmy;asphalt
360608812-2;360608812;[578449630, 7592951005, 578449632, 10708960743, 7592951004];secondary;Allées Paulmy;asphalt
360608812-3;360608812;[7592951004, 578449633];secondary;Allées Paulmy;asphalt
360608814-1;360608814;[578449627, 1890053016];secondary;Avenue Léon Bonnat;asphalt
360608814-2;360608814;[1890053016, 5487050068, 255321717];secondary;Avenue Léon Bonnat;asphalt
360758509-1;360758509;[597616059, 6155693629];secondary;Place de la République;asphalt
360758509-2;360758509;[6155693629, 2441623380, 2441623377];secondary;Place de la République;asphalt
362617768-1;362617768;[5484528564, 12607229104, 12607229103, 3668894640];footway;;compacted
362617768-2;362617768;[3668894640, 12607229102, 5643202179];footway;;compacted
362617768-3;362617768;[5643202179, 3668894645, 12607208400, 3732064424];footway;;compacted
362618867-1;362618867;[3914844127, 3914846154, 12060765994, 7670991430];path;;asphalt
362618867-2;362618867;[7670991430, 3668904711];path;;asphalt
364633955-1;364633955;[1797148172, 1797148184, 5494546566, 718368644];primary_link;Avenue Chanoine Jean Lamarque;
364633955-2;364633955;[718368644, 5494546565, 840829610];primary_link;Avenue Chanoine Jean Lamarque;
369248787-1;369248787;[7606600287, 5484526674, 12369777775, 4285831112];secondary;Avenue Duvergier de Hauranne;asphalt
369248787-2;369248787;[4285831112, 4127494891, 1890041789, 4127494890, 10733895566, 401332570];secondary;Avenue Duvergier de Hauranne;asphalt
369248790-1;369248790;[255402862, 5484526693, 3730555300];service;Avenue Duvergier de Hauranne;
369248790-2;369248790;[3730555300, 3730553720, 10024304211, 3730553713];service;Avenue Duvergier de Hauranne;
369335409-1;369335409;[3731343801, 5637109948, 3731343802, 5637109959, 5637109957];secondary;Allées Marines;asphalt
369335409-2;369335409;[5637109957, 3731343803, 476450927];secondary;Allées Marines;asphalt
369335409-3;369335409;[476450927, 12202198545];secondary;Allées Marines;asphalt
369338095-1;369338095;[3731368375, 3731368376, 3731368377, 3731368390, 706198613];tertiary;Carrefour Henri Arbeletche;asphalt
369338095-2;369338095;[706198613, 3731368378, 3731368379, 3731368380, 3731368381, 3731368388, 3731368389, 706198606];tertiary;Carrefour Henri Arbeletche;asphalt
369338095-3;369338095;[706198606, 3731368382, 3731368383, 3731368384, 3731368385, 3731368386, 3731368387, 706198610];tertiary;Carrefour Henri Arbeletche;asphalt
369338095-4;369338095;[706198610, 3731368375];tertiary;Carrefour Henri Arbeletche;asphalt
369415573-1;369415573;[4014816143, 1831069513, 1831069509, 3732064419, 3737650695];pedestrian;Esplanade Roland Barthes;sett
369415573-2;369415573;[3737650695, 8870131917];pedestrian;Esplanade Roland Barthes;sett
369415573-3;369415573;[8870131917, 7602711549, 3732064422, 8870131921, 8870131920, 8870115614];pedestrian;Esplanade Roland Barthes;sett
369415573-4;369415573;[8870115614, 3737650701, 8870115615];pedestrian;Esplanade Roland Barthes;sett
369415573-5;369415573;[8870115615, 8870131919];pedestrian;Esplanade Roland Barthes;sett
369415573-6;369415573;[8870131919, 8870131926];pedestrian;Esplanade Roland Barthes;sett
369415573-7;369415573;[8870131926, 5484528553];pedestrian;Esplanade Roland Barthes;sett
369415573-8;369415573;[5484528553, 597617491];pedestrian;Esplanade Roland Barthes;sett
369415573-9;369415573;[597617491, 3732065926];pedestrian;Esplanade Roland Barthes;sett
369415573-10;369415573;[3732065926, 4461740219];pedestrian;Esplanade Roland Barthes;sett
369415573-11;369415573;[4461740219, 1808592006];pedestrian;Esplanade Roland Barthes;sett
369415573-12;369415573;[1808592006, 8434579204];pedestrian;Esplanade Roland Barthes;sett
369415573-13;369415573;[8434579204, 6583692168];pedestrian;Esplanade Roland Barthes;sett
369415573-14;369415573;[6583692168, 706302144];pedestrian;Esplanade Roland Barthes;sett
369415573-15;369415573;[706302144, 11993348660, 7602711550];pedestrian;Esplanade Roland Barthes;sett
369415573-16;369415573;[7602711550, 1831069501];pedestrian;Esplanade Roland Barthes;sett
369415573-17;369415573;[1831069501, 1831069520];pedestrian;Esplanade Roland Barthes;sett
369415573-18;369415573;[1831069520, 4014816143];pedestrian;Esplanade Roland Barthes;sett
369415576-1;369415576;[3732064418, 1797148225, 10055688306, 1797148203];footway;;asphalt
369415576-2;369415576;[1797148203, 11787515124, 3732064409];footway;;asphalt
369415577-1;369415577;[1828784577, 1827160768, 3732064423];footway;;asphalt
369415577-2;369415577;[3732064423, 11787515141, 3732065925, 11787515139, 11787515138];footway;;asphalt
369415578-1;369415578;[3732064409, 12361250062, 3732064411, 12361250061, 3732064415, 3732064417, 3732064416, 3732064412, 11787515125];footway;;asphalt
