id_points;lat;lon;nom;equipement;bus;rue;numrue;tourism;artiste;type_art;date_debut;panoramax;tourisme;nom_artiste
388189986;43.4992957;-1.4740149;;;;;;;;;;;;
388189988;43.4994829;-1.4741051;;;;;;;;;;;;
388189991;43.4994489;-1.4741391;;;;;;;;;;;;
388189994;43.4994872;-1.4742352;;;;;;;;;;;;
388189997;43.5001428;-1.4741297;;;;;;;;;;;;
388190000;43.4997605;-1.4733907;;;;;;;;;;;;
388190003;43.4995266;-1.47348;;;;;;;;;;;;
388190117;43.500193;-1.4734747;;;;;;;;;;;;
388190118;43.5007111;-1.4744432;;;;;;;;;;;;
388190119;43.4998779;-1.4746426;;;;;;;;;;;;
388190122;43.499864;-1.4731828;;;;;;;;;;;;
388190123;43.5001541;-1.4724958;;;;;;;;;;;;
388190124;43.4996095;-1.4722767;;;;;;;;;;;;
388190192;43.4994484;-1.4745239;;;;;;;;;;;;
388190193;43.4992716;-1.4752282;;;;;;;;;;;;
388190194;43.4988391;-1.4748683;;;;;;;;;;;;
388190200;43.4979727;-1.4720584;;;;;;;;;;;;
388190201;43.4986542;-1.4716709;;;;;;;;;;;;
388190202;43.4989508;-1.4714108;;;;;;;;;;;;
388190281;43.496868;-1.4734302;;;;;;;;;;;;
388190401;43.4987548;-1.4777934;;;;;;;;;;;;
388190402;43.4976479;-1.4762507;;;;;;;;;;;;
388190404;43.5000093;-1.4788361;;;;;;;;;;;;
388190659;43.5004644;-1.4813156;;;;;;;;;;;;
388190660;43.5004843;-1.4811928;;;;;;;;;;;;
388190661;43.500568;-1.4811651;;;;;;;;;;;;
388190662;43.5006237;-1.4813064;;;;;;;;;;;;
388190663;43.5005438;-1.4813908;;;;;;;;;;;;
388190664;43.4998278;-1.479418;;;;;;;;;;;;
388190665;43.4999246;-1.4794891;;;;;;;;;;;;
388190666;43.5001731;-1.4797271;;;;;;;;;;;;
388190667;43.5003653;-1.4800282;;;;;;;;;;;;
388190668;43.5005155;-1.4803572;;;;;;;;;;;;
388190669;43.5005898;-1.4805983;;;;;;;;;;;;
388190670;43.5006151;-1.4808176;;;;;;;;;;;;
388190681;43.4971986;-1.4773036;;;;;;;;;;;;
388190684;43.4977528;-1.4783625;;;;;;;;;;;;
388190685;43.4979794;-1.4786482;;;;;;;;;;;;
388190686;43.4982202;-1.4788574;;;;;;;;;;;;
388190687;43.4984615;-1.4789982;;;;;;;;;;;;
388190688;43.4987703;-1.4790961;;;;;;;;;;;;
388190689;43.4990033;-1.4791545;;;;;;;;;;;;
388190690;43.4992912;-1.4792229;;;;;;;;;;;;
388190691;43.4995739;-1.4792966;;;;;;;;;;;;
388190694;43.4994996;-1.481835;;;;;;;;;;;;
388190695;43.4998148;-1.481772;;;;;;;;;;;;
388190698;43.5002364;-1.4813689;;;;;;;;;;;;
388190742;43.5012252;-1.4820154;;;;;;;;;;;;
388190744;43.5009949;-1.4817273;;;;;;;;;;;;
388254252;43.4982179;-1.4831015;;;;;;;;;;;;
388254253;43.4969078;-1.4794797;;;;;;;;;;;;
388254255;43.495309;-1.4742042;;;;;;;;;;;;
388254256;43.4931136;-1.4698237;;;;;;;;;;;;
388254258;43.4915655;-1.4668116;;;;;;;;;;;;
388254259;43.4883451;-1.4630121;;;;;;;;;;;;
388254261;43.4868612;-1.4606007;;;;;;;;;;;;
388254267;43.4939931;-1.4713687;;;;;;;;;;;;
388254268;43.4978714;-1.4821562;;;;;;;;;;;;
388314377;43.4938906;-1.4740438;;;;;;;;;;;;
388314378;43.4920919;-1.4740089;;;;;;;;;;;;
388314379;43.4888744;-1.4746486;;;;;;;;;;;;
388314380;43.4871104;-1.4749458;;;;;;;;;;;;
388314381;43.4865766;-1.4748031;;;;;;;;;;;;
388314404;43.4925165;-1.4744197;;;;;;;;;;;;
388314408;43.4911446;-1.4742709;;;;;;;;;;;;
388314409;43.4922822;-1.4741649;;;;;;;;;;;;
388314410;43.49195;-1.4743211;;;;;;;;;;;;
388314411;43.492002;-1.4760566;;;;;;;;;;;;
388314412;43.4923761;-1.4767827;;;;;;;;;;;;
388314413;43.4922662;-1.474353;;;;;;;;;;;;
388324410;43.4879667;-1.4752647;;;;;;;;;;;;
388324411;43.4878858;-1.4744138;;;;;;;;;;;;
388324412;43.4862063;-1.4765954;;;;;;;;;;;;
388382222;43.4893466;-1.4789912;;;;;;;;;;;;
388382223;43.48974;-1.4788825;;;;;;;;;;;;
388382224;43.4904485;-1.4786811;;;;;;;;;;;;
388382225;43.4917739;-1.4784088;;;;;;;;;;;;
388382226;43.4918926;-1.4783887;;;;;;;;;;;;
388382227;43.4919748;-1.4784128;;;;;;;;;;;;
388382229;43.4920478;-1.4784725;;;;;;;;;;;;
388382230;43.4922141;-1.4786737;;;;;;;;;;;;
388382232;43.4923212;-1.4787454;;;;;;;;;;;;
388382234;43.4923645;-1.4787515;;;;;;;;;;;;
388382236;43.4924613;-1.478728;;;;;;;;;;;;
388382239;43.4925196;-1.4786931;;;;;;;;;;;;
388382241;43.4919958;-1.4771146;;;;;;;;;;;;
388382243;43.4932216;-1.4779964;;;;;;;;;;;;
388382245;43.4940651;-1.4776142;;;;;;;;;;;;
388382247;43.4943147;-1.4780015;;;;;;;;;;;;
388382249;43.4929766;-1.4792239;;;;;;;;;;;;
388382253;43.4929569;-1.4776772;;;;;;;;;;;;
388382255;43.4927366;-1.4771991;;;;;;;;;;;;
388382259;43.4929375;-1.4757168;;;;;;;;;;;;
388382262;43.493146;-1.4754172;;;;;;;;;;;;
388382267;43.4928613;-1.4756495;;;;;;;;;;;;
388382269;43.4919573;-1.4757001;;;;;;;;;;;;
388382272;43.4921132;-1.4759256;;;;;;;;;;;;
388382274;43.4919735;-1.4755826;;;;;;;;;;;;
388382278;43.4922635;-1.475175;;;;;;;;;;;;
388382280;43.4913243;-1.4762268;;;;;;;;;;;;
388382282;43.4921282;-1.4750626;;;;;;;;;;;;
388382285;43.4908904;-1.4766023;;;;;;;;;;;;
388382290;43.4909559;-1.475452;;;;;;;;;;;;
388382293;43.4907401;-1.4767245;;;;;;;;;;;;
388382294;43.4897095;-1.4761504;;;;;;;;;;;;
388382297;43.4888911;-1.4764177;;;;;;;;;;;;
388382302;43.4896967;-1.475949;;;;;;;;;;;;
388382303;43.4905376;-1.4758035;;;;;;;;;;;;
388382307;43.4903413;-1.4757446;;;;;;;;;;;;
388382309;43.4901992;-1.4757348;;;;;;;;;;;;
388382312;43.4899514;-1.4757482;;;;;;;;;;;;
